Date,Barge TWC,Barge MM,Barge ILL,Barge ST LOUIS,Barge CINC,Barge LOH,Barge CAR-MEM,BRL=
2015-05-19,0.826365,0.6224400000000001,0.52896,0.305235,0.3376800000000001,0.29087999999999997,0.21195,3.0391
2015-05-26,0.7923200000000001,0.59052,0.51272,0.29526,0.31892,0.27472,0.20724,3.153
2015-06-02,0.8031525,0.6024900000000001,0.5185199999999999,0.29924999999999996,0.3200925,0.27573000000000003,0.20724,3.1296
2015-06-09,0.801605,0.6144600000000001,0.5150399999999999,0.30922499999999997,0.35409500000000005,0.30502,0.21038000000000004,3.096
2015-06-16,0.83565,0.6822900000000001,0.54984,0.3830400000000001,0.44320500000000007,0.38178,0.24491999999999997,3.0874
2015-06-23,0.9981375000000001,0.73416,0.0,0.42792750000000007,0.49245000000000005,0.4242,0.256695,3.0748
2015-06-30,1.024445,0.7315000000000002,0.0,0.39501,0.49714,0.42824,0.24649000000000001,3.102
2015-07-07,0.94707,0.695856,0.5915999999999999,0.35910000000000003,0.45727500000000004,0.39390000000000003,0.220428,3.1863
2015-07-14,0.8758849999999999,0.63042,0.53128,0.32319,0.447895,0.38582,0.22136999999999998,3.1389
2015-07-21,0.8124375,0.6224400000000001,0.522,0.3201975,0.43968750000000006,0.37875000000000003,0.20724,3.171
2015-07-28,0.7660125,0.5984999999999999,0.4871999999999999,0.3082275,0.4256175,0.3666299999999999,0.22136999999999998,3.3573
2015-08-04,0.727325,0.55328,0.4570399999999999,0.29326500000000005,0.41272,0.35551999999999995,0.19939,3.4702
2015-08-11,0.7489899999999999,0.55328,0.46864,0.29127000000000003,0.39864999999999995,0.3434,0.22136999999999998,3.4744
2015-08-18,0.7056600000000001,0.52668,0.44079999999999997,0.30922499999999997,0.41272,0.35551999999999995,0.25591,3.4678
2015-08-25,0.7304200000000001,0.54264,0.4732799999999999,0.35910000000000003,0.42444500000000007,0.36562,0.28259999999999996,3.6172
2015-09-01,0.7551800000000001,0.60914,0.5568,0.4668300000000001,0.54404,0.46864000000000006,0.38151,3.7016
2015-09-08,0.826365,0.70623,0.61596,0.508725,0.640185,0.5514600000000001,0.40035000000000004,3.8185
2015-09-15,0.9517125000000001,0.77805,0.696,0.53865,0.7210875,0.62115,0.36502500000000004,3.863
2015-09-22,1.1142000000000003,0.9576000000000001,0.83868,0.6384000000000001,0.9731750000000001,0.8382999999999999,0.47570999999999997,4.0487
2015-09-29,1.123485,1.00814,0.9001599999999998,0.640395,0.9966250000000001,0.8585000000000002,0.5039699999999999,4.0619
2015-10-06,1.1080100000000002,0.9443,0.8235999999999999,0.5984999999999999,0.8207500000000002,0.7070000000000001,0.45530000000000004,3.8534
2015-10-13,1.0352774999999999,0.84987,0.696,0.508725,0.7035,0.606,0.40035000000000004,3.8922
2015-10-20,1.1389600000000004,0.931,0.7191999999999998,0.6264300000000002,0.7222600000000001,0.6221599999999999,0.47570999999999997,3.9058
2015-10-27,0.9192150000000001,0.6822900000000001,0.5846399999999999,0.400995,0.5839049999999999,0.50298,0.28259999999999996,3.8868
2015-11-03,0.7737500000000002,0.5825400000000001,0.50344,0.317205,0.49245000000000005,0.4242,0.20881,3.7697
2015-11-10,0.7195874999999999,0.52269,0.435,0.27531,0.4221000000000001,0.3636,0.19311,3.7507
2015-11-17,0.7892250000000001,0.5466300000000001,0.4732799999999999,0.2783025,0.37989000000000006,0.32724,0.1884,3.809
2015-11-24,0.777482205882353,0.49077000000000004,0.38280000000000003,0.22743,0.27788250000000003,0.23937,0.162495,3.6985
2015-12-01,0.7657394117647058,0.48305600000000004,0.3897599999999999,0.22743,0.274365,0.23634,0.16014000000000003,3.856
2015-12-08,0.7539966176470587,0.47534200000000004,0.3897599999999999,0.21546,0.25677750000000005,0.22118999999999997,0.157785,3.7947
2015-12-15,0.7422538235294116,0.46762800000000004,0.40368,0.22743,0.28140000000000004,0.2424,0.16642,3.8715
2015-12-22,0.7305110294117645,0.45991400000000004,0.38280000000000003,0.24339000000000005,0.274365,0.23634,0.15542999999999998,3.9884
2015-12-29,0.7187682352941174,0.45220000000000005,0.39393599999999995,0.2384,0.29547,0.25452,0.16014000000000003,3.864
2016-01-05,0.7070254411764703,0.44448600000000005,0.4176,0.23341500000000004,0.302505,0.26058,0.15543,4.0062
2016-01-12,0.6952826470588231,0.43677200000000005,0.39671999999999996,0.209475,0.30602250000000003,0.26361000000000007,0.15072,4.0275
2016-01-19,0.683539852941176,0.42905800000000005,0.3897599999999999,0.2244375,0.288435,0.24846,0.15307500000000002,4.0611
2016-01-26,0.6717970588235289,0.42134400000000005,0.42455999999999994,0.23640750000000005,0.2849175,0.24846,0.16014000000000003,4.0521
2016-02-02,0.6600542647058818,0.41363000000000005,0.4123799999999999,0.23341500000000004,0.31305750000000004,0.26966999999999997,0.16720500000000002,3.988
2016-02-09,0.6483114705882347,0.40591600000000005,0.38512,0.22743,0.30719500000000005,0.26462,0.16328000000000004,3.8841
2016-02-16,0.6365686764705876,0.39820200000000006,0.35844,0.2124675,0.288435,0.24846,0.15542999999999998,4.0708
2016-02-23,0.6248258823529405,0.39048800000000006,0.35495999999999994,0.2064825,0.29195249999999995,0.25149,0.16014000000000003,3.9554
2016-03-01,0.6130830882352933,0.38277400000000006,0.32016,0.18852750000000001,0.28140000000000004,0.2424,0.15072,3.926
2016-03-08,0.6013402941176462,0.37506,0.3132,0.18254250000000002,0.260295,0.22422000000000003,0.14129999999999998,3.7541
2016-03-15,0.5895975,0.37905,0.32364000000000004,0.19152000000000005,0.25326,0.21816,0.143655,3.7641
2016-03-22,0.588669,0.4181520000000001,0.345216,0.21306599999999998,0.277179,0.226644,0.157314,3.5806
2016-03-29,0.622095,0.45087000000000005,0.3897599999999999,0.25137000000000004,0.29547,0.25452,0.17427,3.6379
2016-04-05,0.6313799999999999,0.47082,0.3897599999999999,0.25137000000000004,0.2989875,0.25755,0.17898,3.6795
2016-04-12,0.6453074999999999,0.47880000000000006,0.38628,0.23940000000000003,0.2989875,0.25755,0.16956,3.492
2016-04-19,0.6453074999999999,0.47481,0.4002,0.269325,0.2989875,0.25755,0.18039300000000003,3.5326
2016-04-26,0.6313799999999999,0.4668300000000001,0.37235999999999997,0.23640750000000005,0.28140000000000004,0.2424,0.17898,3.5288
2016-05-03,0.6035250000000001,0.44289000000000006,0.3654,0.23042250000000003,0.26732999999999996,0.23028,0.17191500000000004,3.5584
2016-05-10,0.6174525000000001,0.44688000000000005,0.36191999999999996,0.23341500000000004,0.260295,0.22422000000000003,0.16956,3.4753
2016-05-17,0.615905,0.4389,0.3595999999999999,0.21745499999999998,0.24857,0.21412,0.16642,3.4873
2016-05-24,0.6004299999999999,0.40698,0.32711999999999997,0.20548500000000003,0.241535,0.20806,0.16014000000000003,3.5703
2016-05-31,0.5880500000000001,0.40166,0.3364,0.20748,0.23450000000000004,0.20199999999999999,0.15857000000000004,3.6105
2016-06-07,0.65614,0.4628400000000001,0.38047999999999993,0.21546,0.241535,0.20806,0.16642,3.441
2016-06-14,0.6870900000000001,0.51471,0.435,0.257355,0.274365,0.23634,0.18133500000000002,3.4802
2016-06-21,0.8588625000000001,0.65835,0.56376,0.35910000000000003,0.4150650000000001,0.35753999999999997,0.22843500000000003,3.4153
2016-06-28,0.8727900000000002,0.65037,0.5568,0.329175,0.3834075,0.33027,0.233145,3.3016
2016-07-05,0.882075,0.7301700000000001,0.6298799999999999,0.36209250000000004,0.44320500000000007,0.38178,0.247275,3.3019
2016-07-12,0.8449350000000002,0.65835,0.5393999999999999,0.32319,0.37989000000000006,0.32724,0.21901500000000002,3.2945
2016-07-19,0.962545,0.72751,0.5871919999999999,0.35910000000000003,0.4103750000000001,0.35350000000000004,0.25748000000000004,3.2488
2016-07-26,0.9192150000000001,0.6782999999999999,0.54984,0.34713000000000005,0.40803,0.35147999999999996,0.24256500000000003,3.2762
2016-08-02,0.9192150000000001,0.67032,0.54636,0.3501225,0.43968750000000006,0.37875000000000003,0.24021,3.2568
2016-08-09,0.882075,0.62643,0.5045999999999999,0.329175,0.4221000000000001,0.3636,0.233145,3.1448
2016-08-16,0.89136,0.6384,0.54288,0.3142125,0.4502400000000001,0.38783999999999996,0.2355,3.2014
2016-08-23,0.8681475000000001,0.66633,0.54288,0.3201975,0.45727500000000004,0.39390000000000003,0.24256500000000003,3.2325
2016-08-30,0.8774325,0.67032,0.53592,0.33216750000000006,0.46782750000000006,0.40299,0.25905,3.241
2016-09-06,0.826365,0.67032,0.56376,0.36209250000000004,0.4692345000000001,0.404202,0.29202000000000006,3.194
2016-09-13,0.87898,0.7049000000000001,0.6032,0.3980025000000001,0.6155625,0.53025,0.31792499999999996,3.3131
2016-09-20,0.8774325,0.70623,0.58116,0.3740625,0.60501,0.52116,0.294375,3.2576
2016-09-27,1.02135,0.85785,0.7447199999999999,0.5027400000000001,0.738675,0.6363,0.3768,3.2335
2016-10-04,0.882075,0.798,0.609696,0.448875,0.616266,0.530856,0.36267000000000005,3.2563
2016-10-11,0.8124375,0.6224400000000001,0.48023999999999994,0.3501225,0.43968750000000006,0.37875000000000003,0.25905,3.1946
2016-10-18,0.9192150000000001,0.64239,0.51156,0.34713000000000005,0.43968750000000006,0.34845000000000004,0.22843500000000003,3.1873
2016-10-25,1.0817025,0.85785,0.7134,0.46383749999999996,0.5452125000000001,0.46964999999999996,0.299085,3.1136
2016-11-01,1.0538475,0.77805,0.6264,0.41895,0.63315,0.5454,0.25905,3.2355
2016-11-08,0.7752975000000001,0.53865,0.4176,0.2842875,0.43968750000000006,0.37875000000000003,0.19781999999999997,3.168
2016-11-15,0.752085,0.47481,0.35844,0.23940000000000003,0.3341625,0.29391,0.15307500000000002,3.4389
2016-11-22,0.6809000000000001,0.43490999999999996,0.34104,0.23341500000000004,0.30954000000000004,0.26664,0.15307500000000002,3.354
2016-11-29,0.678965625,0.43863399999999997,0.33408,0.21845250000000002,0.28140000000000004,0.2424,0.15307500000000002,3.3975
2016-12-06,0.67703125,0.442358,0.32364000000000004,0.21546,0.26732999999999996,0.23028,0.143655,3.4075
2016-12-13,0.6750968749999999,0.446082,0.36191999999999996,0.22344,0.311885,0.26866,0.16014000000000003,3.3345
2016-12-20,0.6731624999999999,0.449806,0.38628,0.2244375,0.30954000000000004,0.26664,0.157785,3.3536
2016-12-27,0.6712281249999998,0.45353,0.37932,0.22144500000000003,0.2989875,0.25755,0.15542999999999998,3.2697
2017-01-03,0.6692937499999998,0.457254,0.37235999999999997,0.22144500000000003,0.29195249999999995,0.25149,0.15072,3.2644
2017-01-10,0.6673593749999998,0.460978,0.44543999999999995,0.2543625,0.3306450000000001,0.28481999999999996,0.176625,3.1955
2017-01-17,0.6654249999999997,0.464702,0.48023999999999994,0.257355,0.3306450000000001,0.28481999999999996,0.18133500000000002,3.2113
2017-01-24,0.6634906249999997,0.468426,0.522,0.35910000000000003,0.4221000000000001,0.3636,0.2355,3.1697
2017-01-31,0.6615562499999996,0.47215,0.42919999999999997,0.265335,0.39396,0.33936000000000005,0.19939,3.1507
2017-02-07,0.6596218749999996,0.475874,0.48023999999999994,0.2902725,0.37989000000000006,0.3333,0.1884,3.12
2017-02-14,0.6576874999999995,0.479598,0.43848000000000004,0.2603475,0.3763725,0.32421,0.176625,3.084
2017-02-21,0.6557531249999995,0.48332200000000003,0.40368,0.2543625,0.2989875,0.28179,0.16720500000000002,3.0949
2017-02-28,0.6538187499999994,0.48704600000000003,0.42804,0.2543625,0.3341625,0.28785000000000005,0.17191500000000004,3.1086
2017-03-07,0.6518843749999994,0.49077000000000004,0.426996,0.257355,0.35878499999999997,0.30906,0.16956,3.1187
2017-03-14,0.64995,0.49875,0.43151999999999996,0.2603475,0.3763725,0.32421,0.17191500000000004,3.1683
2017-03-21,0.6174525000000001,0.45087000000000005,0.37235999999999997,0.2543625,0.3411975,0.29391,0.16485,3.0878
2017-03-28,0.584955,0.41496,0.35495999999999994,0.21546,0.29195249999999995,0.25149,0.16014000000000003,3.1398
2017-04-04,0.566385,0.40698,0.35495999999999994,0.21546,0.26732999999999996,0.23028,0.157,3.0927
2017-04-11,0.5524575,0.38703000000000004,0.33755999999999997,0.209475,0.2497425,0.21513000000000002,0.15072,3.136
2017-04-18,0.5431725000000001,0.39102000000000003,0.34104,0.209475,0.24270750000000002,0.20906999999999998,0.15072,3.1072
2017-04-25,0.5338875,0.37905,0.3306,0.20349,0.2356725,0.20301000000000002,0.148365,3.1459
2017-05-02,0.6004299999999999,0.43783600000000006,0.36888,0.21945000000000003,0.25326,0.21816,0.16328000000000004,3.1514
2017-05-09,0.640665,0.4867800000000001,0.42455999999999994,0.23940000000000003,0.288435,0.24846,0.16956,3.1896
2017-05-16,0.5895975,0.4229400000000001,0.36888,0.2124675,0.28140000000000004,0.2424,0.162495,3.0961
2017-05-23,0.6004299999999999,0.43092,0.36656,0.21546,0.29078,0.25048,0.157,3.27
