Date,BRL =
2015-01-07,2.6827
2015-01-08,2.6623
2015-01-09,2.6332
2015-01-12,2.6738
2015-01-13,2.6424
2015-01-14,2.6171
2015-01-15,2.6425
2015-01-16,2.6222
2015-01-19,2.6509
2015-01-20,2.6131
2015-01-21,2.601
2015-01-22,2.5744
2015-01-23,2.5799
2015-01-26,2.5837
2015-01-27,2.5728
2015-01-28,2.5765
2015-01-29,2.6039
2015-01-30,2.6836
2015-02-02,2.7272
2015-02-03,2.6951
2015-02-04,2.7416
2015-02-05,2.7454
2015-02-06,2.7817
2015-02-09,2.7706
2015-02-10,2.8323
2015-02-11,2.8681
2015-02-12,2.8234
2015-02-13,2.8342
2015-02-18,2.8393
2015-02-19,2.8668
2015-02-20,2.8689
2015-02-23,2.8787
2015-02-24,2.8286
2015-02-25,2.8691
2015-02-26,2.9064
2015-02-27,2.8389
2015-03-02,2.895
2015-03-03,2.9314
2015-03-04,2.9783
2015-03-05,3.0032
2015-03-06,3.0642
2015-03-09,3.1224
2015-03-10,3.1014
2015-03-11,3.1258
2015-03-12,3.1658
2015-03-13,3.2486
2015-03-16,3.2457
2015-03-17,3.2396
2015-03-18,3.2106
2015-03-19,3.292
2015-03-20,3.2308
2015-03-23,3.1324
2015-03-24,3.1396
2015-03-25,3.2012
2015-03-26,3.1825
2015-03-27,3.2499
2015-03-30,3.2293
2015-03-31,3.1974
2015-04-01,3.1657
2015-04-02,3.1223
2015-04-06,3.1262
2015-04-07,3.1274
2015-04-08,3.0491
2015-04-09,3.0578
2015-04-10,3.0753
2015-04-13,3.1212
2015-04-14,3.0634
2015-04-15,3.0287
2015-04-16,3.0205
2015-04-17,3.0408
2015-04-20,3.0328
2015-04-22,3.0111
2015-04-23,2.9706
2015-04-24,2.9512
2015-04-27,2.9169
2015-04-28,2.9367
2015-04-29,2.9608
2015-04-30,3.0144
2015-05-04,3.087
2015-05-05,3.0562
2015-05-06,3.0349
2015-05-07,3.0261
2015-05-08,2.9739
2015-05-11,3.0621
2015-05-12,3.0199
2015-05-13,3.0395
2015-05-14,2.9934
2015-05-15,2.9931
2015-05-18,3.005
2015-05-19,3.039
2015-05-20,3.0025
2015-05-21,3.0383
2015-05-22,3.0943
2015-05-25,3.0978
2015-05-26,3.1531
2015-05-27,3.1395
2015-05-28,3.1623
2015-05-29,3.1787
2015-06-01,3.1683
2015-06-02,3.1323
2015-06-03,3.1334
2015-06-05,3.1422
2015-06-08,3.1129
2015-06-09,3.0969
2015-06-10,3.1179
2015-06-11,3.0898
2015-06-12,3.1185
2015-06-15,3.1276
2015-06-16,3.0885
2015-06-17,3.0568
2015-06-18,3.0607
2015-06-19,3.0978
2015-06-22,3.0791
2015-06-23,3.0753
2015-06-24,3.0971
2015-06-25,3.1274
2015-06-26,3.1293
2015-06-29,3.1176
2015-06-30,3.103
2015-07-01,3.1492
2015-07-02,3.0967
2015-07-03,3.1341
2015-07-06,3.1376
2015-07-07,3.1863
2015-07-08,3.2353
2015-07-09,3.213
2015-07-10,3.1599
2015-07-13,3.1344
2015-07-14,3.1393
2015-07-15,3.1401
2015-07-16,3.1568
2015-07-17,3.1881
2015-07-20,3.1958
2015-07-21,3.1716
2015-07-22,3.2231
2015-07-23,3.2854
2015-07-24,3.3554
2015-07-27,3.3637
2015-07-28,3.3567
2015-07-29,3.3314
2015-07-30,3.3713
2015-07-31,3.4211
2015-08-03,3.4508
2015-08-04,3.4711
2015-08-05,3.4851
2015-08-06,3.5363
2015-08-07,3.5071
2015-08-10,3.4404
2015-08-11,3.4745
2015-08-12,3.4807
2015-08-13,3.5187
2015-08-14,3.482
2015-08-17,3.481
2015-08-18,3.4681
2015-08-19,3.4926
2015-08-20,3.4579
2015-08-21,3.4998
2015-08-24,3.5524
2015-08-25,3.6172
2015-08-26,3.5968
2015-08-27,3.5526
2015-08-28,3.5819
2015-08-31,3.6198
2015-09-01,3.6977
2015-09-02,3.7609
2015-09-03,3.7397
2015-09-04,3.843
2015-09-08,3.8203
2015-09-09,3.7792
2015-09-10,3.8499
2015-09-11,3.8735
2015-09-14,3.8156
2015-09-15,3.8625
2015-09-16,3.8286
2015-09-17,3.8986
2015-09-18,3.9446
2015-09-21,3.9851
2015-09-22,4.0504
2015-09-23,4.179
2015-09-24,3.937
2015-09-25,3.9765
2015-09-28,4.1106
2015-09-29,4.0608
2015-09-30,3.9471
2015-10-01,4.0098
2015-10-02,3.9325
2015-10-05,3.9115
2015-10-06,3.8548
2015-10-07,3.8857
2015-10-08,3.784
2015-10-09,3.7662
2015-10-13,3.8931
2015-10-14,3.8126
2015-10-15,3.7994
2015-10-16,3.9253
2015-10-19,3.8864
2015-10-20,3.9053
2015-10-21,3.9399
2015-10-22,3.907
2015-10-23,3.8771
2015-10-26,3.9067
2015-10-27,3.8884
2015-10-28,3.9048
2015-10-29,3.8489
2015-10-30,3.8568
2015-11-03,3.7694
2015-11-04,3.8009
2015-11-05,3.7802
2015-11-06,3.7692
2015-11-09,3.7993
2015-11-10,3.7476
2015-11-11,3.7609
2015-11-12,3.771
2015-11-13,3.8494
2015-11-16,3.819
2015-11-17,3.8138
2015-11-18,3.7648
2015-11-19,3.7177
2015-11-20,3.708
2015-11-23,3.7323
2015-11-24,3.699
2015-11-25,3.745
2015-11-26,3.743
2015-11-27,3.8467
2015-11-30,3.8685
2015-12-01,3.85
2015-12-02,3.8366
2015-12-03,3.7592
2015-12-04,3.7524
2015-12-07,3.768
2015-12-08,3.795
2015-12-09,3.7502
2015-12-10,3.8134
2015-12-11,3.8739
2015-12-14,3.8733
2015-12-15,3.871
2015-12-16,3.8816
2015-12-17,3.8776
2015-12-18,3.9833
2015-12-21,4.0112
2015-12-22,3.9886
2015-12-23,3.9412
2015-12-24,3.942
2015-12-28,3.8594
2015-12-29,3.8649
2015-12-30,3.9582
2015-12-31,3.964
2016-01-04,4.0391
2016-01-05,4.0084
2016-01-06,4.0295
2016-01-07,4.0441
2016-01-08,4.0248
2016-01-11,4.0534
2016-01-12,4.028
2016-01-13,4.0152
2016-01-14,3.9997
2016-01-15,4.0483
2016-01-18,4.0333
2016-01-19,4.0643
2016-01-20,4.0975
2016-01-21,4.1548
2016-01-22,4.0934
2016-01-25,4.0892
2016-01-26,4.0514
2016-01-27,4.1104
2016-01-28,4.0695
2016-01-29,3.9991
2016-02-01,3.9646
2016-02-02,3.991
2016-02-03,3.896
2016-02-04,3.8899
2016-02-05,3.9066
2016-02-10,3.9295
2016-02-11,3.9925
2016-02-12,4.0017
2016-02-15,3.9973
2016-02-16,4.068
2016-02-17,3.9895
2016-02-18,4.0294
2016-02-19,4.0219
2016-02-22,3.9459
2016-02-23,3.9586
2016-02-24,3.9577
2016-02-25,3.9565
2016-02-26,4.0007
2016-02-29,4.0163
2016-03-01,3.9335
2016-03-02,3.8945
2016-03-03,3.7984
2016-03-04,3.7516
2016-03-07,3.785
2016-03-08,3.7545
2016-03-09,3.6885
2016-03-10,3.6271
2016-03-11,3.5855
2016-03-14,3.6617
2016-03-15,3.7674
2016-03-16,3.7422
2016-03-17,3.6276
2016-03-18,3.6248
2016-03-21,3.6182
2016-03-22,3.5803
2016-03-23,3.6854
2016-03-24,3.6771
2016-03-28,3.628
2016-03-29,3.6383
2016-03-30,3.6065
2016-03-31,3.5928
2016-04-01,3.554
2016-04-04,3.6237
2016-04-05,3.6804
2016-04-06,3.6419
2016-04-07,3.6896
2016-04-08,3.5898
2016-04-11,3.4924
2016-04-12,3.488
2016-04-13,3.4984
2016-04-14,3.4834
2016-04-15,3.5317
2016-04-18,3.6153
2016-04-19,3.5304
2016-04-20,3.5292
2016-04-22,3.5646
2016-04-25,3.5577
2016-04-26,3.5297
2016-04-27,3.5271
2016-04-28,3.4879
2016-04-29,3.4351
2016-05-02,3.5019
2016-05-03,3.5594
2016-05-04,3.548
2016-05-05,3.5345
2016-05-06,3.5038
2016-05-09,3.5164
2016-05-10,3.4764
2016-05-11,3.4513
2016-05-12,3.4848
2016-05-13,3.5324
2016-05-16,3.4992
2016-05-17,3.4883
2016-05-18,3.5682
2016-05-19,3.565
2016-05-20,3.5203
2016-05-23,3.5726
2016-05-24,3.5715
2016-05-25,3.5831
2016-05-27,3.6083
2016-05-30,3.5704
2016-05-31,3.6109
2016-06-01,3.6003
2016-06-02,3.5945
2016-06-03,3.5275
2016-06-06,3.489
2016-06-07,3.441
2016-06-08,3.3611
2016-06-09,3.3998
2016-06-10,3.4327
2016-06-13,3.4821
2016-06-14,3.4815
2016-06-15,3.4746
2016-06-16,3.466
2016-06-17,3.4167
2016-06-20,3.3948
2016-06-21,3.4142
2016-06-22,3.3775
2016-06-23,3.3366
2016-06-24,3.3765
2016-06-27,3.3923
2016-06-28,3.3031
2016-06-29,3.2201
2016-06-30,3.2126
2016-07-01,3.2353
2016-07-04,3.2696
2016-07-05,3.3036
2016-07-06,3.3298
2016-07-07,3.3675
2016-07-08,3.2997
2016-07-11,3.3093
2016-07-12,3.2956
2016-07-13,3.2636
2016-07-14,3.2503
2016-07-15,3.2819
2016-07-18,3.2542
2016-07-19,3.2485
2016-07-20,3.2594
2016-07-21,3.2719
2016-07-22,3.2558
2016-07-25,3.2877
2016-07-26,3.2761
2016-07-27,3.2621
2016-07-28,3.2923
2016-07-29,3.2491
2016-08-01,3.265
2016-08-02,3.2598
2016-08-03,3.238
2016-08-04,3.1932
2016-08-05,3.1649
2016-08-08,3.1737
2016-08-09,3.1451
2016-08-10,3.1265
2016-08-11,3.1442
2016-08-12,3.1933
2016-08-15,3.1859
2016-08-16,3.2022
2016-08-17,3.2056
2016-08-18,3.2393
2016-08-19,3.2037
2016-08-22,3.2007
2016-08-23,3.2344
2016-08-24,3.225
2016-08-25,3.2347
2016-08-26,3.2653
2016-08-29,3.23
2016-08-30,3.2418
2016-08-31,3.2263
2016-09-01,3.2592
2016-09-02,3.2569
2016-09-05,3.2832
2016-09-06,3.196
2016-09-08,3.2111
2016-09-09,3.2732
2016-09-12,3.2474
2016-09-13,3.313
2016-09-14,3.3448
2016-09-15,3.3021
2016-09-16,3.2624
2016-09-19,3.2727
2016-09-20,3.2593
2016-09-21,3.2048
2016-09-22,3.2207
2016-09-23,3.245
2016-09-26,3.24
2016-09-27,3.2346
2016-09-28,3.2153
2016-09-29,3.2593
2016-09-30,3.2613
2016-10-03,3.2095
2016-10-04,3.2585
2016-10-05,3.221
2016-10-06,3.2282
2016-10-07,3.2183
2016-10-10,3.2074
2016-10-11,3.1941
2016-10-13,3.1782
2016-10-14,3.2059
2016-10-17,3.2042
2016-10-18,3.187
2016-10-19,3.1686
2016-10-20,3.1411
2016-10-21,3.1565
2016-10-24,3.1221
2016-10-25,3.1125
2016-10-26,3.1401
2016-10-27,3.1661
2016-10-28,3.2007
2016-10-31,3.1939
2016-11-01,3.2318
2016-11-03,3.242
2016-11-04,3.2355
2016-11-07,3.2061
2016-11-08,3.1702
2016-11-09,3.2264
2016-11-10,3.3942
2016-11-11,3.4035
2016-11-14,3.4348
2016-11-16,3.4267
2016-11-17,3.4207
2016-11-18,3.3825
2016-11-21,3.3517
2016-11-22,3.3558
2016-11-23,3.3907
2016-11-24,3.3962
2016-11-25,3.4132
2016-11-28,3.3875
2016-11-29,3.3925
2016-11-30,3.3857
2016-12-01,3.4643
2016-12-02,3.4768
2016-12-05,3.4235
2016-12-06,3.4103
2016-12-07,3.393
2016-12-08,3.375
2016-12-09,3.3803
2016-12-12,3.3381
2016-12-13,3.3344
2016-12-14,3.3721
2016-12-15,3.3651
2016-12-16,3.3897
2016-12-19,3.3693
2016-12-20,3.3505
2016-12-21,3.331
2016-12-22,3.2912
2016-12-23,3.2699
2016-12-26,3.28
2016-12-27,3.2725
2016-12-28,3.2769
2016-12-29,3.2539
2016-12-30,3.25
2017-01-02,3.286
2017-01-03,3.265
2017-01-04,3.2213
2017-01-05,3.1991
2017-01-06,3.2224
2017-01-09,3.2
2017-01-10,3.1939
2017-01-11,3.1971
2017-01-12,3.1873
2017-01-13,3.2182
2017-01-16,3.2409
2017-01-17,3.2112
2017-01-18,3.2231
2017-01-19,3.2015
2017-01-20,3.1744
2017-01-23,3.1646
2017-01-24,3.1708
2017-01-25,3.1675
2017-01-26,3.1744
2017-01-27,3.141
2017-01-30,3.1266
2017-01-31,3.1486
2017-02-01,3.1282
2017-02-02,3.1214
2017-02-03,3.123
2017-02-06,3.1182
2017-02-07,3.1203
2017-02-08,3.1156
2017-02-09,3.127
2017-02-10,3.1154
2017-02-13,3.1104
2017-02-14,3.0846
2017-02-15,3.0569
2017-02-16,3.0893
2017-02-17,3.0991
2017-02-20,3.0879
2017-02-21,3.0965
2017-02-22,3.0655
2017-02-23,3.0636
2017-02-24,3.1097
2017-03-01,3.0935
2017-03-02,3.1533
2017-03-03,3.1161
2017-03-06,3.137
2017-03-07,3.1189
2017-03-08,3.17
2017-03-09,3.193
2017-03-10,3.1419
2017-03-13,3.1528
2017-03-14,3.1686
2017-03-15,3.1044
2017-03-16,3.1189
2017-03-17,3.0911
2017-03-20,3.0721
2017-03-21,3.0879
2017-03-22,3.0875
2017-03-23,3.14
2017-03-24,3.1085
2017-03-27,3.1265
2017-03-28,3.1409
2017-03-29,3.1199
2017-03-30,3.1502
2017-03-31,3.1224
2017-04-03,3.115
2017-04-04,3.0933
2017-04-05,3.1209
2017-04-06,3.1435
2017-04-07,3.1465
2017-04-10,3.1318
2017-04-11,3.1373
2017-04-12,3.1261
2017-04-13,3.1467
2017-04-17,3.0988
2017-04-18,3.1077
2017-04-19,3.1516
2017-04-20,3.148
2017-04-24,3.1281
2017-04-25,3.1472
2017-04-26,3.1736
2017-04-27,3.1839
2017-04-28,3.1765
2017-05-02,3.1519
2017-05-03,3.1666
2017-05-04,3.1886
2017-05-05,3.1766
2017-05-08,3.1985
2017-05-09,3.1903
2017-05-10,3.1675
2017-05-11,3.14
2017-05-12,3.1231
2017-05-15,3.1098
2017-05-16,3.0963
2017-05-17,3.1395
2017-05-18,3.3709
2017-05-19,3.2534
2017-05-22,3.2666
2017-05-23,3.2701
2017-05-24,3.278
2017-05-25,3.2737
2017-05-26,3.26
2017-05-29,3.2569
2017-05-30,3.2581
2017-05-31,3.2266
2017-06-01,3.2506
2017-06-02,3.2452
2017-06-05,3.297
2017-06-06,3.2779
2017-06-07,3.2697
2017-06-08,3.2614
2017-06-09,3.2967
2017-06-12,3.3189
2017-06-13,3.3151
2017-06-14,3.2751
2017-06-16,3.293
2017-06-19,3.2828
2017-06-20,3.3277
2017-06-21,3.3363
2017-06-22,3.3422
2017-06-23,3.3428
2017-06-26,3.2968
2017-06-27,3.3143
2017-06-28,3.2803
2017-06-29,3.3038
2017-06-30,3.3072
2017-07-03,3.3016
2017-07-04,3.3099
2017-07-05,3.2887
2017-07-06,3.2985
2017-07-07,3.2816
2017-07-10,3.2558
2017-07-11,3.2547
2017-07-12,3.208
2017-07-13,3.2123
2017-07-14,3.18
2017-07-17,3.1821
2017-07-18,3.1564
2017-07-19,3.1489
2017-07-20,3.1209
2017-07-21,3.1434
2017-07-24,3.1469
2017-07-25,3.1727
2017-07-26,3.138
2017-07-27,3.1505
2017-07-28,3.1321
2017-07-31,3.1266
2017-08-01,3.1263
2017-08-02,3.1136
2017-08-03,3.1147
2017-08-04,3.1316
2017-08-07,3.1265
2017-08-08,3.1265
2017-08-09,3.1557
2017-08-10,3.1753
2017-08-11,3.1937
2017-08-14,3.1894
2017-08-15,3.1701
2017-08-16,3.1525
2017-08-17,3.1751
2017-08-18,3.1472
