Date,Real GDP (GDPC1),Nominal GDP (GDP),Consumer Price Index,Currency in Circulation
1971-07-01,0.03005897386713885,0.08435637474575497,-0.5221674876847595,0.07481751824817517
1971-10-01,0.043672084142996725,0.09341195361415688,-0.5196078431372553,0.07427536231884058
1972-01-01,0.03476071582284401,0.08408800200148692,,0.06927175843694489
1972-04-01,0.052551813463878716,0.09521816252418325,-0.033816425120771876,0.06866197183098599
1972-07-01,0.05381924715632702,0.09585921412953491,0.9472422062351356,0.06451612903225801
1972-10-01,0.06894469201134878,0.11644740766380157,0.9382422802850385,0.06913996627318708
1973-01-01,0.07561894130622826,0.11935635120497268,inf,0.08471760797342198
1973-04-01,0.06319667402603324,0.11648895385152347,1.8683602771362553,0.08896210873146626
1973-07-01,0.047710808846556096,0.11101485704721803,-0.5282805429864242,0.09090909090909083
1973-10-01,0.040237570999252625,0.11090718366413221,0.8628318584070789,0.08675078864353303
1974-01-01,0.006387757282945383,0.08255522726117803,2.6796536796536747,0.08728943338437989
1974-04-01,-0.0020841156656143944,0.08216286025686648,-0.3960948396094838,0.09228441754916794
1974-07-01,-0.00628980807528956,0.08800715283037563,2.608163265306116,0.09064327485380108
1974-10-01,-0.019454395631254395,0.08358119582276924,0.11660079051383443,0.09869375907111766
1975-01-01,-0.022990596636949245,0.08376223587706355,-0.5549132947976878,0.09577464788732404
1975-04-01,-0.0183426120961806,0.07960296878022777,-0.09297912713472367,0.0872576177285318
1975-07-01,0.007986824656804892,0.09602019453521926,0.3712686567164165,0.09651474530831106
1975-10-01,0.025539986817473936,0.10136533642061929,-0.4439560439560438,0.08850726552179666
1976-01-01,0.061523864866092515,0.1264581255305932,-0.5324324324324321,0.08997429305912585
1976-04-01,0.06172572389849318,0.12136612640471034,-0.05724508050089527,0.10191082802547768
1976-07-01,0.049586307175719435,0.10336643623305375,-0.5281690140845067,0.09168704156479213
1976-10-01,0.043148126414503496,0.09787658407645239,-0.052083333333332926,0.09466019417475735
1977-01-01,0.032259784362000055,0.0923714368737596,1.8608247422680382,0.09080188679245293
1977-04-01,0.04466339250302265,0.10990308432829532,1.348739495798318,0.08901734104046244
1977-07-01,0.0577089198887224,0.12293022530979703,-0.0642504118616134,0.0907054871220605
1977-10-01,0.05012029616689939,0.11890617301694228,-0.37459283387622144,0.09534368070953447
