Date,"Ayr, ND","Alberta, MN","Jasper, MN","Ida Grove, IA","St. Joseph, MO",Barreirias,Sorriso,Rio Verde,Ponta Grossa,Rondonopolis,BRL=
2016-06-09,-0.9499999999999993,-0.8200000000000003,-0.9900000000000002,-0.8599999999999994,-0.5899999999999999,-0.4900000000000002,-0.5299999999999994,0.10999999999999943,0.4900000000000002,0.20000000000000107,3.3995
2016-06-10,-0.9525000000000006,-0.8224999999999998,-0.9525000000000006,-0.8625000000000007,-0.5825000000000014,-0.5525000000000002,-0.6225000000000005,0.04749999999999943,0.5474999999999994,-0.1225000000000005,3.4175
2016-06-13,-0.9499999999999993,-0.8200000000000003,-0.9799999999999986,-0.8599999999999994,-0.5299999999999994,-0.29999999999999893,-0.6199999999999992,-0.08000000000000007,0.6500000000000004,0.05000000000000071,3.4817
2016-06-14,-0.9450000000000003,-0.8250000000000011,-1.0150000000000006,-0.8949999999999996,-0.5350000000000001,-0.5350000000000001,-0.625,-0.10500000000000043,0.40499999999999936,-0.015000000000000568,3.4802
2016-06-15,-0.9500000000000011,-0.8200000000000003,-1.08,-0.870000000000001,-0.5099999999999998,-0.46000000000000085,-0.620000000000001,0.10999999999999943,0.6699999999999999,0.21999999999999886,3.4726
2016-06-16,-0.9450000000000003,-0.8250000000000011,-1.0050000000000008,-0.8650000000000002,-0.4150000000000009,-0.4150000000000009,-0.4850000000000012,0.24499999999999922,0.6549999999999994,0.28500000000000014,3.4656
2016-06-17,-0.9450000000000003,-0.8250000000000011,-0.995000000000001,-0.8550000000000004,-0.39500000000000135,-0.45500000000000007,-0.6050000000000004,0.09499999999999886,0.5949999999999989,0.22499999999999964,3.4158
2016-06-20,-0.9450000000000003,-0.8250000000000011,-0.9850000000000012,-0.8450000000000006,-0.33500000000000085,-0.33500000000000085,-0.45500000000000007,0.03500000000000014,0.6549999999999994,0.27500000000000036,3.3934
2016-06-21,-0.9524999999999988,-0.8025000000000002,-1.0024999999999995,-0.8624999999999989,-0.36249999999999893,-0.34249999999999936,-0.5224999999999991,0.14750000000000085,0.6074999999999999,0.4574999999999996,3.4153
2016-06-22,-0.9450000000000003,-0.8049999999999997,-1.0050000000000008,-0.8650000000000002,-0.3550000000000004,-0.33500000000000085,-0.4450000000000003,0.20500000000000007,0.6850000000000005,0.5150000000000006,3.3756
2016-06-23,-0.9449999999999985,-0.8049999999999997,-1.004999999999999,-0.8649999999999984,-0.3149999999999995,-0.17499999999999893,-0.22499999999999964,0.26500000000000057,0.8250000000000011,0.495000000000001,3.3376
2016-06-24,-0.9499999999999993,-0.7999999999999989,-0.9900000000000002,-0.8699999999999992,-0.3199999999999985,-0.06999999999999851,-0.41000000000000014,0.25,0.8300000000000001,0.4400000000000013,3.3725
2016-06-27,-0.9499999999999993,-0.8000000000000007,-1.0099999999999998,-0.8900000000000006,-0.33000000000000007,-0.5700000000000003,-0.9199999999999999,-0.16000000000000014,0.6799999999999997,0.0600000000000005,3.3916
2016-06-28,-0.9450000000000003,-0.8050000000000015,-1.0250000000000004,-0.9050000000000011,-0.29499999999999993,-0.5250000000000004,-0.7650000000000006,0.004999999999999005,0.7949999999999999,0.1349999999999998,3.3016
2016-06-29,-0.9350000000000005,-0.8049999999999997,-1.0150000000000006,-0.8949999999999996,-0.3149999999999995,-0.5750000000000011,-0.5449999999999999,0.26500000000000057,0.7349999999999994,0.09499999999999886,3.2215
2016-06-30,-0.9100000000000001,-0.8000000000000007,-0.9900000000000002,-0.8699999999999992,-0.2699999999999996,-0.6400000000000006,-0.75,-0.11999999999999922,0.6199999999999992,-0.03999999999999915,3.2126
2016-07-01,-0.9474999999999998,-0.8674999999999997,-1.0474999999999994,-0.9075000000000006,-0.3674999999999997,-0.5875000000000004,-0.8874999999999993,-0.1274999999999995,0.8524999999999991,0.01249999999999929,3.2348
2016-07-05,-0.9700000000000006,-0.8900000000000006,-1.0700000000000003,-0.9299999999999997,-0.40000000000000036,-0.13000000000000078,-0.7099999999999991,0.09999999999999964,0.5800000000000001,0.17999999999999972,3.3019
2016-07-06,-0.9425000000000008,-0.8725000000000005,-1.0225000000000009,-0.9024999999999999,-0.28250000000000064,-0.5024999999999995,-0.8324999999999996,0.06750000000000078,0.4375,-0.16249999999999964,3.3296
2016-07-07,-0.932500000000001,-0.8625000000000007,-1.012500000000001,-0.8925000000000001,-0.24249999999999972,-0.19250000000000078,-0.5824999999999996,0.20749999999999957,0.8274999999999988,0.3074999999999992,3.3668
2016-07-08,-0.9675000000000011,-0.8575000000000017,-1.0475000000000012,-0.8775000000000013,-0.3175000000000008,-0.45750000000000135,-1.0875000000000004,-0.04750000000000121,0.5524999999999984,0.16249999999999964,3.2995
2016-07-11,-0.9575000000000014,-0.8475000000000001,-1.0375000000000014,-0.8674999999999997,-0.27749999999999986,-0.2475000000000005,-0.5475000000000012,0.022499999999999076,0.6824999999999992,0.3125,3.3085
2016-07-12,-0.9525000000000006,-0.8424999999999994,-1.0325000000000006,-0.8125,-0.3025000000000002,-0.5124999999999993,-0.8825000000000003,-0.15249999999999986,0.5274999999999999,0.33750000000000036,3.2945
2016-07-13,-0.9499999999999993,-0.8499999999999996,-1.0299999999999994,-0.8099999999999987,-0.33000000000000007,-0.4900000000000002,-0.9399999999999995,-0.2400000000000002,0.7400000000000002,0.3800000000000008,3.263
2016-07-14,-1.125,-1.045,-1.2550000000000008,-1.0350000000000001,-0.5950000000000006,-0.21499999999999986,-0.2550000000000008,0.22499999999999964,0.9749999999999996,0.8349999999999991,3.2501
2016-07-15,-0.8449999999999989,-0.7349999999999994,-1.004999999999999,-0.7449999999999992,-0.254999999999999,-0.08499999999999908,-0.20500000000000007,0.46499999999999986,1.0549999999999997,0.7050000000000001,3.2808
2016-07-18,-0.8525000000000009,-0.7324999999999999,-0.9725000000000001,-0.7125000000000004,-0.27250000000000085,-0.39250000000000007,-0.26250000000000107,0.4275000000000002,0.7274999999999991,0.817499999999999,3.2522
2016-07-19,-0.8499999999999996,-0.7299999999999986,-1.0099999999999998,-0.75,-0.3099999999999987,-0.1999999999999993,-0.21999999999999886,0.47000000000000064,1.08,1.0,3.2488
2016-07-20,-0.8499999999999996,-0.7300000000000004,-1.0299999999999994,-0.7400000000000002,-0.33000000000000007,-0.1999999999999993,-0.05999999999999872,0.41999999999999993,1.2200000000000006,1.33,3.2588
2016-07-21,-0.8449999999999989,-0.7349999999999994,-1.045,-0.754999999999999,-0.35499999999999865,-0.18499999999999872,-0.3349999999999991,0.2550000000000008,0.7850000000000001,0.8550000000000004,3.271
2016-07-22,-0.8449999999999989,-0.6749999999999989,-1.0350000000000001,-0.6849999999999987,-0.3349999999999991,-0.19500000000000028,-0.3249999999999993,0.34500000000000064,0.7149999999999999,0.8250000000000011,3.2563
2016-07-25,-0.8475000000000001,-0.6775000000000002,-1.0274999999999999,-0.6775000000000002,-0.32750000000000057,-0.08750000000000036,-0.26750000000000007,0.5224999999999991,0.9324999999999992,0.9725000000000001,3.2845
2016-07-26,-0.8950000000000014,-0.6750000000000007,-1.045,-0.6950000000000003,-0.34500000000000064,-0.06500000000000128,-0.6050000000000004,0.27500000000000036,0.8849999999999998,0.7649999999999988,3.2762
2016-07-27,-0.8949999999999996,-0.7249999999999996,-1.0950000000000006,-0.745000000000001,-0.3949999999999996,-0.28500000000000014,-0.5449999999999999,0.1349999999999998,0.8349999999999991,0.47499999999999964,3.2633
2016-07-28,-0.9550000000000001,-0.7249999999999996,-1.1050000000000004,-0.7550000000000008,-0.40499999999999936,-0.23499999999999943,-0.21499999999999986,0.24499999999999922,1.0150000000000006,0.625,3.2884
2016-07-29,-0.9949999999999992,-0.8049999999999997,-1.0949999999999989,-0.7949999999999999,-0.4449999999999985,-0.3049999999999997,-0.625,0.245000000000001,0.7949999999999999,0.5449999999999999,3.2471
2016-08-01,-1.040000000000001,-0.9000000000000004,-1.1400000000000006,-0.8400000000000016,-0.5,-0.28000000000000114,-0.40000000000000036,0.4399999999999995,0.75,0.6699999999999999,3.2644
2016-08-02,-1.022499999999999,-0.8724999999999987,-1.1224999999999987,-0.8224999999999998,-0.47249999999999837,-0.08249999999999957,-0.5024999999999995,0.3675000000000015,0.7475000000000005,0.7375000000000007,3.2568
2016-08-03,-1.045,-0.9049999999999994,-1.1449999999999996,-0.8449999999999989,-0.45500000000000007,-0.20500000000000007,-0.2649999999999988,0.1750000000000007,0.9050000000000011,0.5050000000000008,3.2367
2016-08-04,-1.084999999999999,-0.8949999999999996,-1.1849999999999987,-0.8349999999999991,-0.4349999999999987,-0.16499999999999915,-0.29499999999999993,0.4450000000000003,1.0050000000000008,0.6850000000000005,3.1935
