Destination,mkt_yr,Bushels(M)
PAKISTAN,1415,23.101513332
NIGERIA,1920,23.327077634000002
DOMINICN REP,1920,23.348805632999998
GERMANY,1415,23.793399700000002
VIETNAM,1617,24.384727833000007
KOREA REP,1617,24.500384234999995
VIETNAM,1819,24.845792998999965
SPAIN,1617,24.853041000999994
CANADA,1617,24.854011001
KOREA REP,1718,24.97403126700001
ITALY,1920,25.164756750000002
SPAIN,1718,25.737762849999996
HONDURAS,1920,25.854638399000006
TUNISIA,1920,26.205570998000002
COLOMBIA,1516,26.45176666700001
KOREA REP,1516,26.47625349900002
TURKEY,1516,27.15335573399999
CANADA,1415,27.781165334
EGYPT,1516,27.930087165000007
COSTA RICA,1415,28.30677983799998
BANGLADESH,1516,28.349209667000004
RUSSIA,1516,30.07770816700001
CANADA,1516,30.28367366400001
EGYPT,1617,31.028199666000003
BANGLADESH,1819,32.26151133500001
THAILAND,1617,32.63151725100014
THAILAND,1415,33.86431775000014
BANGLADESH,1415,33.97428200000001
MALAYSIA,1920,36.32335633300042
BANGLADESH,1718,36.65750016500001
PHILIPPINES,1415,38.07174508200025
BANGLADESH,1617,38.47441549900002
PERU,1920,38.749718502
KOREA REP,1819,39.637496283000026
PAKISTAN,1819,39.744037999999996
SAUDI ARABIA,1920,39.75339790199999
TURKEY,1415,39.98949766700001
VIETNAM,1516,40.66945366800004
COSTA RICA,1920,41.21339366599998
SPAIN,1415,41.48889433299999
VIETNAM,1718,42.24976878300016
GUATEMALA,1920,43.01814018300001
VIETNAM,1415,46.84550408400047
PAKISTAN,1920,48.654470663999994
CHINA T,1617,48.72315428400073
EGYPT,1415,49.007665713
THAILAND,1718,49.76889083200042
THAILAND,1819,53.64669175100035
VIETNAM,1920,57.24578389900035
PAKISTAN,1718,58.586142667
PERU,1415,58.732100797999955
PHILIPPINES,1920,61.74324890100013
SPAIN,1920,64.708133466
KOREA REP,1415,65.21679646900009
CHINA T,1718,66.900468650001
CHINA T,1819,67.73004158300051
THAILAND,1920,68.28262623300057
SPAIN,1516,69.601745997
CHINA T,1516,69.61698333300066
ARGENTINA,1819,71.203978001
JAPAN,1718,71.90583675499992
JAPAN,1819,75.13531123300004
JAPAN,1617,76.4921505069999
INDONESIA,1819,87.38215593400038
EGYPT,1718,88.51304216599998
INDONESIA,1718,89.72783516400074
INDONESIA,1617,90.05460736700081
COLOMBIA,1415,91.70981924900006
SPAIN,1819,92.73709374999999
JAPAN,1516,94.3941172059997
BANGLADESH,1920,99.01328444900001
EGYPT,1819,102.38841725099999
INDONESIA,1516,103.15989600000117
CHINA T,1415,105.72672703000225
NETHERLANDS,1617,114.71225379999996
NETHERLANDS,1819,120.12378949599997
NETHERLANDS,1718,130.55729841299998
NETHERLANDS,1920,130.78264066699998
MEXICO,1617,131.35094357600028
CHINA T,1920,133.64325171100012
INDONESIA,1415,134.18242383300054
INDONESIA,1920,140.7338613139993
KOREA REP,1920,149.17031781499998
NETHERLANDS,1415,153.911425977
MEXICO,1718,155.00700261700027
MEXICO,1819,171.17442599600034
MEXICO,1516,174.85296983900054
COLOMBIA,1920,180.9678746630001
NETHERLANDS,1516,196.50550241599998
EGYPT,1920,222.18089299100006
JAPAN,1415,261.6629914970002
MEXICO,1415,343.11655741400017
JAPAN,1920,472.027002837001
CHINA MAIN,1819,491.38594981399996
MEXICO,1920,652.5550556419969
CHINA MAIN,1920,922.3821239920092
CHINA MAIN,1718,1022.48538687401
CHINA MAIN,1617,1319.6692157580096
CHINA MAIN,1415,1486.4259326370209
CHINA MAIN,1516,1810.3254556190186
