Country Name,2013_GDP_per_Capita,2013_Life_Expectancy_at_Birth,2013_Fertility_Rate,2013_Population,GDP_Per_Capita_log_value,Life_Expectancy_at_Birth_log_value,Fertility_Rate_log_value,Population_log_value
Ghana,1871.0710000000001,61.09863415,3.8569999999999998,26164432,7.53426627317569,4.112489511590535,1.3498896792260906,17.079911489163745
Guinea,559.976,56.09165854,4.915,11948726,6.3278939256679445,4.026987112346767,1.5922917535991299,16.29613521977979
The Gambia,453.056,58.83134146,5.751,1866878,6.116015738151724,4.074674730928142,1.749373752731617,14.439778074914729
Guinea-Bissau,567.189,54.27170732,4.927,1757138,6.340692581517873,3.9940030473188117,1.594730283561826,14.37919690705587
Equatorial Guinea,20604.791,53.11456098,4.845,797082,9.933278900552342,3.9724511087360836,1.5779472453427295,13.5887128383018
Greece,21857.28,80.63414634,1.29,11027549,9.992289325809379,4.389922211658513,0.25464221837358075,16.215907154388223
Grenada,7696.876,72.74134146,2.17,105902,8.948569811231753,4.286909881236471,0.7747271675523681,11.57026941715243
Guatemala,3474.684,71.99282927,3.783,15690793,8.153258818612233,4.276566520584074,1.330517345650892,16.56858466517836
Guyana,3755.027,66.20790244,2.546,761033,8.230850754585168,4.192799828024106,0.9345235001352147,13.542431999898376
Hong Kong SAR,37955.448,83.83170732,1.124,7187500,10.544168329832663,4.4288113048982956,0.11689375147149943,15.787853964087743
Honduras,2283.077,73.80304878,3.0010000000000003,7849059,7.733279373512502,4.301400042135249,1.0989455664582302,15.875904209961831
Croatia,13401.419,77.12682927,1.51,4255700,9.503115875854856,4.345451200193874,0.412109650826833,15.263769818797366
Haiti,819.812,63.05885366,3.148,10431249,6.709075045679623,4.144068475391581,1.146767330555157,16.16031657052649
Hungary,13387.975,75.26829268,1.34,9893082,9.502112194985584,4.321058966179913,0.29266961396282004,16.10734628295998
Indonesia,3509.824,70.81743902,2.338,251268276,8.163321172752594,4.260105284211208,0.8492958630498767,19.34203175499062
India,1509.495,66.4562439,2.479,1279498874,7.319530436786323,4.196543744627544,0.9078552530530535,20.969734333532468
Ireland,48607.820999999996,81.04390244,2.01,4598294,10.791539722867324,4.394991013272647,0.6981347220709843,15.34119592310498
